CountryName,Year,gdp_per_capita,population,co2_total,eco_efficiency_score
Switzerland,2023,82302.0500,8870564.0000,31977486.0000,22830.6128
Uganda,2023,2791.0557,48656606.0000,6235861.0000,21777.7942
Ethiopia,2023,2757.9592,128691695.0000,17570662.0000,20199.9472
Malawi,2023,1648.4365,21104480.0000,1852568.0000,18779.0112
"Sierra Leone",2023,3037.6765,8460523.0000,1380435.0000,18617.5603
Sweden,2023,62845.4840,10551493.0000,36708596.0000,18064.2617
Chad,2023,2641.4329,19319075.0000,2848394.0000,17915.3728
Ireland,2023,115505.3360,5196629.0000,33567940.0000,17881.2992
Guinea-Bissau,2023,2619.4136,2153343.0000,329342.0000,17126.5613
"Costa Rica",2023,25979.6290,5105526.0000,8472529.0000,15655.2632
