EconDataID,CountryID,EconIndicatorID,Year,Value
01,1,1,2014,12832.212
02,1,1,2015,13156.332
03,1,1,2016,13692.479
04,1,1,2017,14155.04
05,1,1,2018,14710.982
06,1,1,2019,15078.507
07,1,1,2020,14662.796
08,1,1,2021,16126.777
09,1,1,2022,17111.953
10,1,1,2023,17991.016
11,1,1,2024,18919.807
12,2,1,2014,15073.763
13,2,1,2015,15239.518
14,2,1,2016,15511.686
15,2,1,2017,15427.664
16,2,1,2018,15343.426
17,2,1,2019,15199.199
18,2,1,2020,14194.155
19,2,1,2021,14496.865
20,2,1,2022,14782.2
21,2,1,2023,15159.324
22,2,1,2024,15442.124
23,3,1,2014,60919.84
24,3,1,2015,61026.0
25,3,1,2016,61647.78
26,3,1,2017,62612.14
27,3,1,2018,63855.78
28,3,1,2019,64688.145
29,3,1,2020,60349.902
30,3,1,2021,62968.94
31,3,1,2022,65661.45
32,3,1,2023,64394.09
33,3,1,2024,63314.46
34,4,1,2014,20709.201
35,4,1,2015,20678.754
36,4,1,2016,19822.41
37,4,1,2017,19659.004
38,4,1,2018,19781.852
39,4,1,2019,20101.492
40,4,1,2020,19126.098
41,4,1,2021,20111.375
42,4,1,2022,21051.244
43,4,1,2023,21310.738
44,4,1,2024,22072.105
45,5,1,2014,5068.6396
46,5,1,2015,5352.7114
47,5,1,2016,5682.5356
48,5,1,2017,6005.707
49,5,1,2018,6392.5933
50,5,1,2019,6838.326
51,5,1,2020,7015.1978
52,5,1,2021,7441.0693
53,5,1,2022,7888.164
54,5,1,2023,8242.398
55,5,1,2024,8486.785
56,6,1,2014,26564.436
57,6,1,2015,25513.213
58,6,1,2016,24846.83
59,6,1,2017,25503.98
60,6,1,2018,26363.463
61,6,1,2019,26798.82
62,6,1,2020,26731.496
63,6,1,2021,27611.18
64,6,1,2022,26537.508
65,6,1,2023,27782.438
66,6,1,2024,29037.53
67,7,1,2014,57028.06
68,7,1,2015,57534.4
69,7,1,2016,57927.043
70,7,1,2017,58555.152
71,7,1,2018,59383.88
72,7,1,2019,60506.66
73,7,1,2020,57358.836
74,7,1,2021,60669.215
75,7,1,2022,62744.203
76,7,1,2023,62920.645
77,7,1,2024,63083.184
78,8,1,2014,11744.519
79,8,1,2015,12400.298
80,8,1,2016,13320.976
81,8,1,2017,13482.343
82,8,1,2018,13854.8545
83,8,1,2019,14555.188
84,8,1,2020,12979.937
85,8,1,2021,13458.8125
86,8,1,2022,14061.3125
87,8,1,2023,14645.266
88,8,1,2024,13450.350650000002
89,9,1,2014,13454.384
90,9,1,2015,14219.543
91,9,1,2016,14873.068
92,9,1,2017,15554.06
93,9,1,2018,16348.134
94,9,1,2019,17028.643
95,9,1,2020,16746.39
96,9,1,2021,18285.672
97,9,1,2022,19297.072
98,9,1,2023,19803.846
99,9,1,2024,20428.525
100,10,1,2014,19183.172
101,10,1,2015,18357.068
102,10,1,2016,17620.928
103,10,1,2017,17724.48
104,10,1,2018,17917.75
105,10,1,2019,18018.621
106,10,1,2020,17327.516
107,10,1,2021,18075.705
108,10,1,2022,18554.047
109,10,1,2023,19079.812
110,10,1,2024,19647.91
111,11,1,2014,23446.406
112,11,1,2015,24553.145
113,11,1,2016,25626.824
114,11,1,2017,26681.43
115,11,1,2018,27739.502
116,11,1,2019,29199.834
117,11,1,2020,28545.709
118,11,1,2021,30971.914
119,11,1,2022,32433.15
120,11,1,2023,33139.938
121,11,1,2024,34083.234
122,12,1,2014,4702.7305
123,12,1,2015,4968.5728
124,12,1,2016,5283.7295
125,12,1,2017,5632.0312
126,12,1,2018,6050.591
127,12,1,2019,6448.885
128,12,1,2020,6128.782
129,12,1,2021,6225.5327
130,12,1,2022,6458.368
131,12,1,2023,6695.292
132,12,1,2024,7011.5815
133,13,1,2014,55723.484
134,13,1,2015,55660.867
135,13,1,2016,55606.156
136,13,1,2017,56612.33
137,13,1,2018,57337.492
138,13,1,2019,57583.848
139,13,1,2020,54092.88
140,13,1,2021,56995.117
141,13,1,2022,58321.062
142,13,1,2023,57517.44
143,13,1,2024,56691.906
144,14,1,2014,1001.85596
145,14,1,2015,1043.9218
146,14,1,2016,1073.9448
147,14,1,2017,1103.8661
148,14,1,2018,1125.7009
149,14,1,2019,1145.0956
150,14,1,2020,1136.5706
151,14,1,2021,1128.5524
152,14,1,2022,1136.8018
153,14,1,2023,1132.6764
154,14,1,2024,1111.6533
155,15,1,2014,2821.2751
156,15,1,2015,2823.3606
157,15,1,2016,2623.1206
158,15,1,2017,2496.4927
159,15,1,2018,2552.6062
160,15,1,2019,2604.9163
161,15,1,2020,2513.0159
162,15,1,2021,2435.0728
163,15,1,2022,2655.71
164,15,1,2023,2641.4329
165,15,1,2024,2605.7717
166,16,1,2014,27505.049
167,16,1,2015,27811.375
168,16,1,2016,27958.729
169,16,1,2017,27892.994
170,16,1,2018,28492.662
171,16,1,2019,28218.535
172,16,1,2020,26248.562
173,16,1,2021,29089.85
174,16,1,2022,29569.479
175,16,1,2023,29563.678
176,16,1,2024,30182.787
177,17,1,2014,16480.363
178,17,1,2015,16821.38
179,17,1,2016,17003.244
180,17,1,2017,16986.033
181,17,1,2018,17104.13
182,17,1,2019,17336.771
183,17,1,2020,15861.5
184,17,1,2021,17383.09
185,17,1,2022,18458.72
186,17,1,2023,18382.998
187,17,1,2024,18503.67
188,18,1,2014,9159.257
189,18,1,2015,8977.707
190,18,1,2016,8001.8257
191,18,1,2017,7372.7705
192,18,1,2018,7029.3364
193,18,1,2019,6939.369
194,18,1,2020,6350.5093
195,18,1,2021,6263.2114
196,18,1,2022,6205.105
197,18,1,2023,6172.2876
198,18,1,2024,6181.4707
199,19,1,2014,20724.922
200,19,1,2015,21254.783
201,19,1,2016,21925.6
202,19,1,2017,22622.553
203,19,1,2018,23005.312
204,19,1,2019,23364.783
205,19,1,2020,22211.861
206,19,1,2021,23852.926
207,19,1,2022,24831.719
208,19,1,2023,25979.629
209,19,1,2024,26973.436
210,20,1,2014,4907.5747
211,20,1,2015,5110.8623
212,20,1,2016,5320.8467
213,20,1,2017,5556.114
214,20,1,2018,5670.2
215,20,1,2019,5894.879
216,20,1,2020,5787.8154
217,20,1,2021,6045.2046
218,20,1,2022,6272.264
219,20,1,2023,6511.751
220,20,1,2024,6733.154
221,21,1,2014,36442.01
222,21,1,2015,37903.125
223,21,1,2016,40209.863
224,21,1,2017,42128.566
225,21,1,2018,44227.91
226,21,1,2019,46195.594
227,21,1,2020,44203.89
228,21,1,2021,48781.277
229,21,1,2022,51588.445
230,21,1,2023,52190.875
231,21,1,2024,53252.46
232,22,1,2014,40158.016
233,22,1,2015,42066.574
234,22,1,2016,43069.465
235,22,1,2017,45177.523
236,22,1,2018,46301.082
237,22,1,2019,47763.617
238,22,1,2020,45119.938
239,22,1,2021,47796.035
240,22,1,2022,48390.66
241,22,1,2023,47509.523
242,22,1,2024,47961.81
243,23,1,2014,61047.332
244,23,1,2015,61893.246
245,23,1,2016,63299.336
246,23,1,2017,64815.73
247,23,1,2018,65694.76
248,23,1,2019,66580.19
249,23,1,2020,65204.55
250,23,1,2021,69715.18
251,23,1,2022,70233.64
252,23,1,2023,71454.52
253,23,1,2024,73709.0
254,24,1,2014,16993.588
255,24,1,2015,17973.188
256,24,1,2016,18968.975
257,24,1,2017,19501.875
258,24,1,2018,20662.848
259,24,1,2019,21451.287
260,24,1,2020,19545.41
261,24,1,2021,22053.459
262,24,1,2022,22986.959
263,24,1,2023,23282.49
264,24,1,2024,24229.469
265,25,1,2014,14064.799
266,25,1,2015,13881.57
267,25,1,2016,13586.516
268,25,1,2017,14179.153
269,25,1,2018,14083.507
270,25,1,2019,13870.489
271,25,1,2020,12440.326
272,25,1,2021,13507.444
