CountryName,co2_2015,co2_2020,CO2_Change,gdp_2015,gdp_2020,GDP_Change
Montenegro,2238704.0000,2403584.0000,7.36,21138.9770,21039.3220,-0.47
Morocco,58498840.0000,64541824.0000,10.33,8198.8090,8054.5630,-1.76
Madagascar,3121228.0000,3788076.0000,21.36,1627.5806,1545.7272,-5.03
Colombia,91026590.0000,92305150.0000,1.40,16821.3800,15861.5000,-5.71
Algeria,160321620.0000,171138530.0000,6.75,15239.5180,14194.1550,-6.86
Azerbaijan,34683330.0000,36237164.0000,4.48,20678.7540,19126.0980,-7.51
Nigeria,110524590.0000,124899300.0000,13.01,5985.0940,5410.6934,-9.60
Chad,2351874.0000,2356446.0000,0.19,2823.3606,2513.0159,-10.99
Suriname,2713620.0000,2921822.0000,7.67,23327.5250,19091.3610,-18.16
Congo,5636681.0000,7677297.0000,36.20,8977.7070,6350.5093,-29.26
