CountryName,gdp_min,gdp_max,GDP_Change,co2_min,co2_max,CO2_Change
Ireland,81053.3500,101970.8100,25.81,38715396.0000,35052570.0000,-9.46
Romania,29178.7440,35482.1950,21.60,78045990.0000,73946380.0000,-5.25
Poland,31700.3700,37852.8000,19.41,312548860.0000,302102430.0000,-3.34
Cyprus,37903.1250,44203.8900,16.62,6952477.0000,6903173.0000,-0.71
Bulgaria,24553.1450,28545.7090,16.26,48127124.0000,36571028.0000,-24.01
Estonia,36729.8100,41340.7660,12.55,15779627.0000,9198245.0000,-41.71
Latvia,30599.6130,34225.9000,11.85,7262421.0000,6999268.0000,-3.62
Ukraine,15403.7100,17092.5400,10.96,223849810.0000,207100640.0000,-7.48
Slovenia,38537.0940,42474.2270,10.22,13658673.0000,12872991.0000,-5.75
"South Korea",42459.9020,46361.5980,9.19,634177300.0000,597634300.0000,-5.76
Czechia,42066.5740,45119.9380,7.26,104989704.0000,91661460.0000,-12.69
Denmark,61893.2460,65204.5500,5.35,35110572.0000,28299676.0000,-19.40
Finland,52782.4900,55424.8600,5.01,44192000.0000,37720000.0000,-14.65
Israel,40967.3700,42915.9400,4.76,62935624.0000,59285372.0000,-5.80
Bhutan,12400.2980,12979.9370,4.67,1433898.0000,1213662.0000,-15.36
"United States",64359.4730,67342.0700,4.63,5368496600.0000,4689954000.0000,-12.64
"Costa Rica",21254.7830,22211.8610,4.50,7352825.0000,6754070.0000,-8.14
Russia,35037.1520,36376.3360,3.82,1635243500.0000,1631901600.0000,-0.20
Kazakhstan,30893.7600,32011.5490,3.62,303052300.0000,281789200.0000,-7.02
Portugal,35803.3550,36852.2270,2.93,52233050.0000,41738144.0000,-20.09
Netherlands,63081.3950,64862.1900,2.82,163958100.0000,136974140.0000,-16.46
"New Zealand",44963.8320,46104.6050,2.54,35805096.0000,34108960.0000,-4.74
Germany,59699.3400,60342.6640,1.08,800822500.0000,647176800.0000,-19.19
Sweden,58975.9770,59572.4770,1.01,43310144.0000,36622220.0000,-15.44
Switzerland,76566.0800,77324.8900,0.99,38756060.0000,34343256.0000,-11.39
Norway,85550.3000,86096.0550,0.64,45523000.0000,41275000.0000,-9.33
