CountryName,Year,population,water,people_withOUT_water
Suriname,2021,617905.0000,341900.0600,-2111999661
Montenegro,2021,603854.0000,534280.1000,-3225667901
Fiji,2021,916718.0000,385909.6200,-3536786232
Bhutan,2021,775450.0000,564964.6000,-4380242541
Guinea-Bissau,2021,2058841.0000,489955.3400,-10085342581
Cyprus,2021,1317311.0000,1241265.8000,-16350013612
"Central African Republic",2021,5112103.0000,332007.7000,-16967463489
Estonia,2021,1331750.0000,1288955.2000,-17164329126
"North Macedonia",2021,1851109.0000,1691354.8000,-31306969816
Latvia,2021,1885593.0000,1814434.6000,-34210966214
Mongolia,2021,3339676.0000,1283222.1000,-42852120824
Slovenia,2021,2113495.0000,2082835.6000,-44018512769
Albania,2021,2849641.0000,2018445.4000,-57515598040
"Sierra Leone",2021,8094603.0000,840964.7500,-68064663279
Moldova,2021,3023780.0000,2291769.2000,-69295034936
Lithuania,2021,2794490.0000,2645973.8000,-73938678754
"Bosnia and Herzegovina",2021,3244912.0000,2863867.2000,-92926725525
Georgia,2021,3788450.0000,2588551.8000,-98062202217
Laos,2021,7453192.0000,1319930.1000,-98369471427
Lebanon,2021,5718129.0000,2667685.0000,-152535951485
Congo,2021,5892187.0000,2688937.5000,-158431333626
Chad,2021,17828274.0000,1065992.4000,-190030217617
"Costa Rica",2021,5059991.0000,4149537.8000,-209961179231
Ireland,2021,5028428.0000,4786857.0000,-240698629280
"New Zealand",2021,5107694.0000,5129727.0000,-262005650501
